date,home_team,away_team,winner,first_shooter,match_id
2024-02-29,Jordan,Nepal,Jordan,Jordan,2024-02-29_Jordan_Nepal
2024-04-06,Brazil,Canada,Canada,Canada,2024-04-06_Brazil_Canada
2024-04-09,Japan,Brazil,Brazil,Japan,2024-04-09_Japan_Brazil
2024-04-09,United States,Canada,United States,Canada,2024-04-09_United_States_Canada
2024-08-03,Spain,Colombia,Spain,Colombia,2024-08-03_Spain_Colombia
2024-08-03,Canada,Germany,Germany,Germany,2024-08-03_Canada_Germany
2024-10-24,Estonia,Lithuania,Estonia,Estonia,2024-10-24_Estonia_Lithuania
2024-10-27,Nepal,India,Nepal,India,2024-10-27_Nepal_India
2024-10-31,South Africa,Mozambique,South Africa,nan,2024-10-31_South_Africa_Mozambique
2024-11-02,South Africa,Zambia,Zambia,nan,2024-11-02_South_Africa_Zambia
2025-02-26,Zimbabwe,Angola,Angola,nan,2025-02-26_Zimbabwe_Angola
2025-02-26,Ethiopia,Uganda,Ethiopia,nan,2025-02-26_Ethiopia_Uganda
2025-07-17,Sweden,England,England,England,2025-07-17_Sweden_England
2025-07-19,Algeria,Ghana,Ghana,Algeria,2025-07-19_Algeria_Ghana
2025-07-19,South Africa,Senegal,South Africa,South Africa,2025-07-19_South_Africa_Senegal
2025-07-19,France,Germany,Germany,Germany,2025-07-19_France_Germany
2025-07-22,Morocco,Ghana,Morocco,Morocco,2025-07-22_Morocco_Ghana
2025-07-25,Ghana,South Africa,Ghana,South Africa,2025-07-25_Ghana_South_Africa
2025-07-27,England,Spain,England,England,2025-07-27_England_Spain
2025-07-28,Argentina,Colombia,Colombia,Colombia,2025-07-28_Argentina_Colombia
2025-08-01,Argentina,Uruguay,Argentina,Uruguay,2025-08-01_Argentina_Uruguay
2025-08-02,Colombia,Brazil,Brazil,Brazil,2025-08-02_Colombia_Brazil
